Designator,Mid X,Mid Y,Rotation,Layer
C1,168.22,-100.34,90.0,top
C10,153.0,-38.905,90.0,top
C11,198.5,-46.0,270.0,top
C12,196.175,-111.505,0.0,top
C2,228.75,-33.0,270.0,top
C3,168.75,-122.5,90.0,top
C4,112.91,-146.17,180.0,top
C5,148.0,-112.6375,90.0,top
C6,231.0,-33.0,90.0,top
C7,132.0,-87.0,270.0,top
C8,192.25,-111.5,0.0,top
C9,189.25,-109.5,90.0,top
D1,161.27,-103.25,0.0,top
D32,209.48,-29.0,0.0,top
F1,226.5,-33.125,90.0,top
H1,113.75,-152.25,0.0,top
H2,113.75,-28.5,0.0,top
H3,236.25,-28.75,0.0,top
H4,236.5,-152.5,0.0,top
H5,236.5,-90.5,0.0,top
H6,113.5,-89.8,0.0,top
IC1,149.3,-106.4,0.0,top
IC2,179.05,-103.75,0.0,top
J1,230.75,-55.78,270.0,bottom
J2,120.0,-55.7,270.0,bottom
LS1,219.75,-107.5,0.0,top
Q1,154.25,-102.75,0.0,top
R1,189.75,-119.31,270.0,top
R10,152.5,-97.75,180.0,top
R11,171.25,-97.44,270.0,top
R12,155.75,-119.44,90.0,top
R13,151.5,-119.5,90.0,top
R14,158.0,-108.75,180.0,top
R15,138.54,-41.905,90.0,bottom
R16,141.04,-41.905,90.0,bottom
R17,138.54,-50.8175,270.0,bottom
R18,133.54,-50.905,270.0,bottom
R19,131.04,-50.905,270.0,bottom
R2,171.75,-119.31,270.0,top
R20,133.54,-41.905,90.0,bottom
R21,131.04,-41.905,90.0,bottom
R22,141.04,-50.905,270.0,bottom
R23,217.5,-42.0875,90.0,bottom
R24,220.0,-42.0875,90.0,bottom
R25,217.5,-50.5,270.0,bottom
R26,212.5,-50.5,270.0,bottom
R27,210.0,-50.5,270.0,bottom
R28,212.5,-42.0,90.0,bottom
R29,210.0,-42.0,90.0,bottom
R3,113.75,-139.75,270.0,top
R30,220.0,-50.5,270.0,bottom
R4,145.5,-109.81,270.0,top
R45,145.75,-89.0,0.0,top
R5,187.75,-97.6,270.0,top
R6,128.0,-87.0,90.0,top
R7,196.5,-119.31,90.0,top
R8,219.25,-28.75,0.0,top
R9,157.25,-89.0,0.0,top
RV1,154.75,-141.55,0.0,top
S1,179.25,-96.0,0.0,top
S2,179.95,-117.75,0.0,top
TP1,231.65,-28.3,0.0,top
TP2,228.5,-28.25,0.0,top
U1,130.943,-106.99,180.0,top
U2,194.5,-107.5,0.0,top
U3,151.54,-112.65,0.0,top
U4,136.0,-46.405,90.0,top
U5,215.0,-46.5,90.0,top
U6,147.5,-42.5,0.0,top
U7,175.395,-55.9,0.0,top
U8,203.712,-42.405,180.0,top
